Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
06/27/2020,130,5,13,11,41,21,24,13,10,7,3,0,64,65,1,44,2,33,21,6,24,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,3,0,1,1,4,0,3,0,9,4,0,6,0,6,1,0,0
03/21/2020,125,2,66,0,18,25,20,28,16,13,5,0,53,72,0,25,6,61,26,3,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,8,19,11,14,4,0,23,43,0,13,4,34,12,2,1
06/05/2020,338,17,33,33,76,70,51,50,29,18,10,1,171,166,1,176,3,50,28,11,70,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,5,5,5,8,2,7,1,0,17,16,0,13,0,14,3,2,1
05/16/2020,516,28,76,35,107,87,93,77,60,35,22,0,279,231,6,203,11,98,51,16,137,0,0,1,3,0,6,4,14,0,8,20,0,9,1,12,6,0,0,2,9,4,11,13,11,15,11,0,37,39,0,27,4,29,10,1,5
09/07/2020,72,1,11,4,19,17,5,10,11,3,3,0,39,33,0,21,0,23,13,3,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,2,1,2,0,7,4,0,4,0,5,1,0,1
06/15/2020,235,20,27,36,57,42,34,30,25,9,2,0,131,102,2,101,5,49,20,9,51,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,4,3,3,1,5,8,0,3,0,17,10,0,11,1,10,5,0,0
07/14/2020,322,3,19,46,82,69,48,38,23,15,1,0,184,136,2,137,3,71,61,9,41,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,1,0,2,2,2,3,6,4,0,0,12,7,0,8,0,8,2,1,0
07/22/2020,371,4,20,41,125,82,57,29,22,14,1,0,191,174,6,136,9,78,97,10,41,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,1,3,2,5,0,3,5,1,0,13,7,0,6,1,12,1,0,0
07/18/2020,134,4,12,13,38,25,21,20,9,5,3,0,62,72,0,41,1,42,20,5,25,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,1,1,1,2,4,2,0,7,5,0,1,0,8,2,1,0
04/07/2020,559,25,198,2,84,108,94,84,80,55,52,0,294,258,7,164,16,198,90,27,64,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0,0,6,15,23,34,48,33,39,0,88,106,4,41,9,102,36,10,0
